format	fm-lint-telemetry-v1
git_head	259b5046c0a3bb8a0066d191b3149f4fc255e9b6
content_cksum	4004782712-116
shellcheck_version	0.11.0
analysis_mode	full
partition	all
jobs	2
root_bounds_enforced	0
root_deadline_seconds	unbounded
root_kill_grace_seconds	unbounded
root_memory_limit_kib	unbounded
root_timing_mechanism	none
root_count	1
direct_lines	2
direct_bytes	34
source_directives	0
source_boundary_directives	0
source_followed_directives	0
source_target_count	0
shard_1_weight_bytes	34
shard_2_weight_bytes	0
wall_seconds	1
worker_wall_sum_seconds	0.12
max_worker_wall_seconds	0.11
user_seconds	0.01
system_seconds	0.01
max_worker_rss_kib	24656
worker_rss_sum_kib	32000
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	4.02/4.11/4.23
load_average_end	4.02/4.11/4.23
aggregate_cpu_percent_start	175.10
aggregate_cpu_percent_end	167.20
result_exit	0
