format	fm-lint-telemetry-v1
git_head	25a897107e9c511b77869ffd7e1509759a6a52f0
content_cksum	3669182650-182
shellcheck_version	0.11.0
analysis_mode	full
partition	all
jobs	2
root_bounds_enforced	0
root_deadline_seconds	unbounded
root_kill_grace_seconds	unbounded
root_memory_limit_kib	unbounded
root_timing_mechanism	none
root_count	2
direct_lines	5
direct_bytes	101
source_directives	0
source_boundary_directives	0
source_followed_directives	0
source_target_count	0
shard_1_weight_bytes	59
shard_2_weight_bytes	42
wall_seconds	0
worker_wall_sum_seconds	0.19
max_worker_wall_seconds	0.10
user_seconds	0.02
system_seconds	0.02
max_worker_rss_kib	25120
worker_rss_sum_kib	49808
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	9.56/10.80/8.62
load_average_end	9.56/10.80/8.62
aggregate_cpu_percent_start	175.00
aggregate_cpu_percent_end	157.70
result_exit	1
