format	fm-lint-telemetry-v1
git_head	bbd79fea5565796d768662af55d073989ad4c10c
content_cksum	3906003907-239
shellcheck_version	0.11.0
analysis_mode	full
partition	all
jobs	2
root_bounds_enforced	0
root_deadline_seconds	unbounded
root_kill_grace_seconds	unbounded
root_memory_limit_kib	unbounded
root_timing_mechanism	none
root_count	2
direct_lines	4
direct_bytes	80
source_directives	0
source_boundary_directives	0
source_followed_directives	0
source_target_count	0
shard_1_weight_bytes	42
shard_2_weight_bytes	38
wall_seconds	1
worker_wall_sum_seconds	0.15
max_worker_wall_seconds	0.11
user_seconds	0.02
system_seconds	0.02
max_worker_rss_kib	25088
worker_rss_sum_kib	49760
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	7.30/6.40/5.61
load_average_end	7.30/6.40/5.61
aggregate_cpu_percent_start	153.70
aggregate_cpu_percent_end	150.60
result_exit	1
