format	fm-lint-telemetry-v1
git_head	86139b1a0a8379d374067e783122f19a6d26322f
content_cksum	1073679059-245
shellcheck_version	0.11.0
analysis_mode	full
partition	all
jobs	1
root_bounds_enforced	0
root_deadline_seconds	unbounded
root_kill_grace_seconds	unbounded
root_memory_limit_kib	unbounded
root_timing_mechanism	none
root_count	2
direct_lines	4
direct_bytes	63
source_directives	0
source_boundary_directives	0
source_followed_directives	0
source_target_count	0
shard_1_weight_bytes	33
shard_2_weight_bytes	30
wall_seconds	1
worker_wall_sum_seconds	0.21
max_worker_wall_seconds	0.11
user_seconds	0.02
system_seconds	0.02
max_worker_rss_kib	25168
worker_rss_sum_kib	50000
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	4.61/5.13/5.21
load_average_end	4.61/5.13/5.21
aggregate_cpu_percent_start	228.00
aggregate_cpu_percent_end	174.20
result_exit	1
