format	fm-lint-telemetry-v1
git_head	unavailable
content_cksum	1373616502-111
shellcheck_version	0.11.0
analysis_mode	full
partition	all
jobs	2
root_bounds_enforced	1
root_deadline_seconds	1200
root_kill_grace_seconds	5
root_memory_limit_kib	8388608
root_timing_mechanism	perl
root_count	2
direct_lines	4
direct_bytes	83
source_directives	0
source_boundary_directives	0
source_followed_directives	0
source_target_count	0
shard_1_weight_bytes	49
shard_2_weight_bytes	34
wall_seconds	0
worker_wall_sum_seconds	unavailable
max_worker_wall_seconds	unavailable
user_seconds	unavailable
system_seconds	unavailable
max_worker_rss_kib	unavailable
worker_rss_sum_kib	unavailable
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	0.06/0.01/0.00
load_average_end	0.06/0.01/0.00
aggregate_cpu_percent_start	0.00
aggregate_cpu_percent_end	0.00
result_exit	1
